Id,Category,SubCategory,Product,Price,Store,Notes
2238,Household,BEDDING,"Sunbeam Fleece Print Sheet Set, King",60% Off,JcPenney,Doors open 2pm Thursday
2239,Household,BEDDING,"Sunbeam Fleece Print Sheet Set, Queen",60% Off,JcPenney,Doors open 2pm Thursday
2240,Household,BEDDING,"Sunbeam Fleece Print Sheet Set, Twin",$16.99,JcPenney,Doors open 2pm Thursday
2241,Household,BEDDING,Supersized Plush Blankets,$14.99,Big Lots,"3 Day Deals Open Thanksgiving 7am, Friday 6am, and Saturday 8am"
2242,Household,BEDDING,Sweater Knit Throw,$35.99,Macy's,Doorbuster; Prices valid until Friday 2am Doors open at 5pm Thurs and reopen 6am-1pm Friday; Price after 1pm $59.99
2243,Household,BEDDING,"The Big One 5-Zone Gel Memory Foam Mattress Topper, All Sizes",$34.99,Kohl's,"Doors Open at 5pm 11/22, Prices Valid Until 1pm 11/23; Earn $15 Kohl's Cash for Every $50 Spent"
2244,Household,BEDDING,"The Big One Bed Pillow, Standard/Queen",$2.99,Kohl's,"Doors Open at 5pm 11/22, Prices Valid Until 1pm 11/23; Earn $15 Kohl's Cash for Every $50 Spent"
2245,Household,BEDDING,"The Big One Complete Bedding Sets with Sheets, All Sizes",$49.99,Kohl's,"Doors Open at 5pm 11/22, Prices Valid Until 1pm 11/23; Earn $15 Kohl's Cash for Every $50 Spent"
2246,Household,BEDDING,"The Big One Easy Car Sheet Sets, All Sizes",$19.99,Kohl's,"Doors Open at 5pm 11/22, Prices Valid Until 1pm 11/23; Earn $15 Kohl's Cash for Every $50 Spent"
2247,Household,BEDDING,"The Big One Jersey Sheet Sets, All Sizes",$19.99,Kohl's,"Doors Open at 5pm 11/22, Prices Valid Until 1pm 11/23; Earn $15 Kohl's Cash for Every $50 Spent"
2248,Household,BEDDING,"The Big One Quilt and Sham Sets, All Sizes",$39.99,Kohl's,"Doors Open at 5pm 11/22, Prices Valid Until 1pm 11/23; Earn $15 Kohl's Cash for Every $50 Spent"
2249,Household,BEDDING,"The Big One Quilted Back Sleeper Pillows, Standard/ Queen",2 for $14,Kohl's,"Doors Open at 5pm 11/22, Prices Valid Until 1pm 11/23; Earn $15 Kohl's Cash for Every $50 Spent"
2250,Household,BEDDING,"The Big One Quilted Side Sleeper Pillows, Standard/Queen",2 for $14,Kohl's,"Doors Open at 5pm 11/22, Prices Valid Until 1pm 11/23; Earn $15 Kohl's Cash for Every $50 Spent"
2251,Household,BEDDING,"The Big One Reversible Down-Alternative Comforter, All Sizes",$19.99,Kohl's,"Doors Open at 5pm 11/22, Prices Valid Until 1pm 11/23; Earn $15 Kohl's Cash for Every $50 Spent"
2252,Household,BEDDING,The Big One Side Sleeper Memory Foam Bed Pillow,$14.99,Kohl's,"Doors Open at 5pm 11/22, Prices Valid Until 1pm 11/23; Earn $15 Kohl's Cash for Every $50 Spent"
2253,Household,BEDDING,"The Big One Supersoft Plush Blankets, All Sizes",$19.99,Kohl's,"Doors Open at 5pm 11/22, Prices Valid Until 1pm 11/23; Earn $15 Kohl's Cash for Every $50 Spent"
2254,Household,BEDDING,The Big One Supersoft Plush Throw ,$8.99,Kohl's,"Doors Open at 5pm 11/22, Prices Valid Until 1pm 11/23; Earn $15 Kohl's Cash for Every $50 Spent"
2255,Household,BEDDING,The Big One Supersoft Plush Throws,$8.99,Kohl's,"Doors Open at 5pm 11/22, Prices Valid Until 1pm 11/23; Earn $15 Kohl's Cash for Every $50 Spent"
2256,Household,BEDDING,"The Dream Pillow, Standard/Queen",$12.99,JcPenney,Doors open 2pm Thursday
2257,Household,BEDDING,"The Side Sleeper Pillow, Standard/Queen",$12.99,JcPenney,Doors open 2pm Thursday
2258,Household,BEDDING,Threshold Chenille Throw Blanket,$10.00,Rite Aid,"Doorbuster; Doors Open 5pm Thursday, Close 1am Friday and re-open 7am Friday"
2259,Household,BEDDING,"Threshold Flannel Sheet Set, Twin",$14.00,Rite Aid,"Doorbuster; Doors Open 5pm Thursday, Close 1am Friday and re-open 7am Friday"
2260,Household,BEDDING,"Threshold Fuzzy Blanket, All Sizes",$18.00,Rite Aid,"Doors Open 5pm Thursday, Close 1am Friday and re-open 7am Friday"
2261,Household,BEDDING,Threshold Sherpa Throw Blanket,$10.00,Rite Aid,"Doorbuster; Doors Open 5pm Thursday, Close 1am Friday and re-open 7am Friday"
2262,Household,BEDDING,Tranquliity 12lb Weighted Blanket,$50.00,Rite Aid,"Doorbuster; Doors Open 5pm Thursday, Close 1am Friday and re-open 7am Friday"
2263,Household,BEDDING,"True North Sherpa Comforter Sets, All Sizes",$49.99,Kohl's,"Doorbuster; Get $15 Kohl's Cash; Doors Open at 5pm 11/22, Prices Valid Until 1pm 11/23; Earn $15 Kohl's Cash for Every $50 Spent"
2264,Household,BEDDING,Velvet Plush Print Throws,$8.99,JcPenney,Doors open 2pm Thursday
2265,Household,BEDDING,Velvet Plush Solid Throws,$8.99,JcPenney,Doors open 2pm Thursday
2266,Household,BEDDING,"Victoria 5 Piece Comforter Set, Any Size",$25.00,JcPenney,Doors open 2pm Thursday
2267,Household,BEDDING,Waverly Comforter Sets,50% Off,Belk,Doorbuster; Doors Open Thurs 4pm-Fri 1am & Reopens Fri 6am-10pm
2268,Household,BEDDING,Waverly Quilt Sets,50% Off,Belk,Doorbuster; Doors Open Thurs 4pm-Fri 1am & Reopens Fri 6am-10pm
2269,Household,BEDDING,"White Birch Comfroter Set, 5 Pieces, All Sizes",$29.99,Kohl's,"Doors Open at 5pm 11/22, Prices Valid Until 1pm 11/23; Earn $15 Kohl's Cash for Every $50 Spent"
2270,Household,BEDDING,"White Goose Feather Down Comforter, Any Size",$57.99,JcPenney,Doors open 2pm Thursday
2271,Household,BATH,Aprima Bath Rugs,Buy One Get One 50% Off,Big Lots,"3 Day Deals Open Thanksgiving 7am, Friday 6am, and Saturday 8am"
2272,Household,BATH,Aprima Bath Towels,Buy One Get One 50% Off,Big Lots,"3 Day Deals Open Thanksgiving 7am, Friday 6am, and Saturday 8am"
2273,Household,BATH,"Bath Accessories, All",20% Off,JcPenney,Doors open 2pm Thursday
2274,Household,BATH,"Bath Rug 2 Piece Sets, All",$14.99,JcPenney,Doors open 2pm Thursday
2275,Household,BATH,"Bath Rug 3 Piece Sets, All",$14.99,JcPenney,Doors open 2pm Thursday
2276,Household,BATH,Bath Towel,$1.60,Walmart,Special Buy; Black Friday Begins Online Wed at 10pm ET and In Stores Thurs at 6pm
2277,Household,BATH,"Bath Towel Set, 6 Pieces",$7.99,at home,11/23-11/25
2278,Household,BATH,Biltmore Century Bath Towels,$7.99,Belk,Exclusively at Belk; Doors Open Thurs 4pm-Fri 1am & Reopens Fri 6am-10pm
2279,Household,BATH,Biltmore Century Bath Towels,$7.99,Belk,Exclusively at Belk; Doorbuster; Doors Open Thurs 4pm-Fri 1am & Reopens Fri 6am-10pm
2280,Household,BATH,Biltmore PIMA Bath Towels,$9.99,Belk,Doors Open Thurs 4pm-Fri 1am & Reopens Fri 6am-10pm
2281,Household,BATH,Biltmore Pima Towel,$9.99,Belk,Doorbuster; Doors Open Thurs 4pm-Fri 1am & Reopens Fri 6am-10pm
2282,Household,BATH,Calvin Klein 3pc Modern Cotton Comforter Set,$99.99,Macy's,Doorbuster; Prices valid until Friday 2am Doors open at 5pm Thurs and reopen 6am-1pm Friday; Price after 1pm $149.99
2283,Household,BATH,Charter Club Bath Rugs,65% Off,Macy's,Doorbuster; Prices valid until Friday 2am Doors open at 5pm Thurs and reopen 6am-1pm Friday
2284,Household,BATH,Charter Club Elite Bath Towel,$9.99,Macy's,Doorbuster; Prices valid until Friday 2am Doors open at 5pm Thurs and reopen 6am-1pm Friday; Price after 1pm $15.99
2285,Household,BATH,Classic Mattress Pad,$9.99,Macy's,Doorbuster; Prices valid until Friday 2am Doors open at 5pm Thurs and reopen 6am-1pm Friday; Price after 1pm $20.99
2286,Household,BATH,Crown & Ivy Hygro Cotton Bath Towels,$7.99,Belk,Exclusively at Belk; Doors Open Thurs 4pm-Fri 1am & Reopens Fri 6am-10pm
2287,Household,BATH,Home Accents Egyptian Dual Performance Towel,$5.99,Belk,Exclusively at Belk; Doorbuster; Doors Open Thurs 4pm-Fri 1am & Reopens Fri 6am-10pm
2288,Household,BATH,Home Accents Quick Dry Bath Towels,$4.99,Belk,Exclusively at Belk; Doors Open Thurs 4pm-Fri 1am & Reopens Fri 6am-10pm
2289,Household,BATH,Home Expressions Ombre Stripe Bath Towel,$2.99,JcPenney,Doors open 2pm Thursday
2290,Household,BATH,Home Expressions Solid Bath Towel,$2.99,JcPenney,Doors open 2pm Thursday
2291,Household,BATH,Hooded Bath Towels for Kids,$9.99,Kohl's,"Doors Open at 5pm 11/22, Prices Valid Until 1pm 11/23; Earn $15 Kohl's Cash for Every $50 Spent"
2292,Household,BATH,Hotel Collection Ultimate Microcotton Towels,$11.99,Macy's,Doorbuster; Prices valid until Friday 2am Doors open at 5pm Thurs and reopen 6am-1pm Friday; Price after 1pm $60-$80
2293,Household,BATH,Hotel Style Bath Towel,$5.00,Walmart,Special Buy; Black Friday Begins Online Wed at 10pm ET and In Stores Thurs at 6pm
2294,Household,BATH,"Hotel Style Bundle 4 Pack, 2 Hand Towels & 2 Washcloths",$5.00,Walmart,Special Buy; Black Friday Begins Online Wed at 10pm ET and In Stores Thurs at 6pm
2295,Household,BATH,"JcPenney Home Blair Bath Rug, 17""x24""",50% Off,JcPenney,Doors open 2pm Thursday
2296,Household,BATH,"JcPenney Home Bri Bath Rug, 17""x24""",50% Off,JcPenney,Doors open 2pm Thursday
2297,Household,BATH,JcPenney Home Lattice Bath Towel,$4.99,JcPenney,Doors open 2pm Thursday
2298,Household,BATH,"JcPenney Home Performance Solid Bath Towel, 30""x54""",$4.99,JcPenney,Doors open 2pm Thursday
2299,Household,BATH,"JcPenney Home Print Bath Towel, 30""x54""",$4.99,JcPenney,Doors open 2pm Thursday
2300,Household,BATH,"JcPenney Home Quick-Dri Solid Bath Towel, 30""x54""",$4.99,JcPenney,Doors open 2pm Thursday
2301,Household,BATH,JcPenney Home Tribal Bath Towel,$4.99,JcPenney,Doors open 2pm Thursday
2302,Household,BATH,Jessica Simpson Bath Rugs,65% Off,Macy's,Doorbuster; Prices valid until Friday 2am Doors open at 5pm Thurs and reopen 6am-1pm Friday
2303,Household,BATH,Just Home Bath Rugs,Buy One Get One 50% Off,Big Lots,"3 Day Deals Open Thanksgiving 7am, Friday 6am, and Saturday 8am"
2304,Household,BATH,Just Home Bath Towels,Buy One Get One 50% Off,Big Lots,"3 Day Deals Open Thanksgiving 7am, Friday 6am, and Saturday 8am"
2305,Household,BATH,"Lauren Conrad Rug Sets, 2 Pieces",$14.99,Kohl's,"Doors Open at 5pm 11/22, Prices Valid Until 1pm 11/23; Earn $15 Kohl's Cash for Every $50 Spent"
2306,Household,BATH,"Lauren Conrad Shower Curtain and Rug Sets, 14 Pieces",$14.99,Kohl's,"Doors Open at 5pm 11/22, Prices Valid Until 1pm 11/23; Earn $15 Kohl's Cash for Every $50 Spent"
2307,Household,BATH,Living Colors Bath Rugs,Buy One Get One 50% Off,Big Lots,"3 Day Deals Open Thanksgiving 7am, Friday 6am, and Saturday 8am"
2308,Household,BATH,"Living Colors Bath Towels, Entire Stock",Buy One Get One 50% Off,Big Lots,"3 Day Deals Open Thanksgiving 7am, Friday 6am, and Saturday 8am"
2309,Household,BATH,"Liz Claiborne Jacobean Solid Bath Towel, 30""x56""",$7.99,JcPenney,Doors open 2pm Thursday
2310,Household,BATH,"Liz Claiborne Signature Plush Solid Bath Towel, 30""x56""",$7.99,JcPenney,Doors open 2pm Thursday
2311,Household,BATH,"Luxury Bath Rug, 17""x24""",$14.99,JcPenney,Doors open 2pm Thursday
2312,Household,BATH,Luxury Egyptian Cotton Loops Solid Bath Towel,$9.99,JcPenney,Doors open 2pm Thursday
2313,Household,BATH,Martha Stewart Collection Spa Bath Towel,$5.99,Macy's,Doorbuster; Prices valid until Friday 2am Doors open at 5pm Thurs and reopen 6am-1pm Friday; Price after 1pm $10.99
2314,Household,BATH,"Memory Foam Bath Rug 18""x27""",$4.50,Walmart,Special Buy; Black Friday Begins Online Wed at 10pm ET and In Stores Thurs at 6pm
2315,Household,BATH,Modern Southern Home Classic Cotton Bath Towels,2 for $4.99,Belk,Exclusively at Belk; Doorbuster; Doors Open Thurs 4pm-Fri 1am & Reopens Fri 6am-10pm
2316,Household,BATH,Modern Southern Home Classic Cotton Hand Towels,2 for $3.99,Belk,Exclusively at Belk; Doorbuster; Doors Open Thurs 4pm-Fri 1am & Reopens Fri 6am-10pm
2317,Household,BATH,Modern Southern Home Classic Cotton Washcloths,2 for $4.99,Belk,Exclusively at Belk; Doorbuster; Doors Open Thurs 4pm-Fri 1am & Reopens Fri 6am-10pm
2318,Household,BATH,Modern Southern Home Egyptian Dual Performance Towel,$5.99,Belk,Exclusively at Belk; Doorbuster; Doors Open Thurs 4pm-Fri 1am & Reopens Fri 6am-10pm
2319,Household,BATH,Modern Southern Home Quick Dry Bath Towels,$4.99,Belk,Exclusively at Belk; Doors Open Thurs 4pm-Fri 1am & Reopens Fri 6am-10pm
2320,Household,BATH,Mohawk Bath Rug ,FREE,Macy's,After $10 Mail-In Rebate; In-Store Only Doorbuster; Limit 1 Per Household; Rebate only available until 1pm.  After 1pm $23.99
2321,Household,BATH,Opalhouse Perfectly Soft Bath Towel,$4.00,Rite Aid,"Doorbuster; Doors Open 5pm Thursday, Close 1am Friday and re-open 7am Friday"
2322,Household,BATH,Ralph Lauren Westcott Bath Towels,$9.99,Belk,Doors Open Thurs 4pm-Fri 1am & Reopens Fri 6am-10pm
2323,Household,BATH,Ralph Lauren Westcott Towel,$9.99,Belk,Doorbuster; Doors Open Thurs 4pm-Fri 1am & Reopens Fri 6am-10pm
2324,Household,BATH,Room Essentials Bath Towel,$2.00,Rite Aid,"Doorbuster; Doors Open 5pm Thursday, Close 1am Friday and re-open 7am Friday"
2325,Household,BATH,"Room Essentials Hand Towels, 2ct",$2.00,Rite Aid,"Doorbuster; Doors Open 5pm Thursday, Close 1am Friday and re-open 7am Friday"
2326,Household,BATH,"Room Essentials Washcloths, 6ct",$2.00,Rite Aid,"Doorbuster; Doors Open 5pm Thursday, Close 1am Friday and re-open 7am Friday"
2327,Household,BATH,"Shower Curtain 13 Piece Sets, All",$14.99,JcPenney,Doors open 2pm Thursday
