Id,Category,SubCategory,Product,Price,Store,Notes
143,BEAUTY,,Estee Lauder Brush Collections,$24.50,Belk,
144,BEAUTY,,Estee Lauder Pleasures Captivating Duet,$24.99,Belk,
145,BEAUTY,,Estee Lauder Pure Color Envy Gloss Coffret,$19.50,Belk,
146,BEAUTY,,Eva NYC Mane Magic 3pc Travel-Size Sets,$9.99,Belk,
147,BEAUTY,,Fizz & Bubble Bath Bomb Sets,$14.99,Belk,
148,BEAUTY,,Goodness & Grace 103pc Beauty Case,$24.99,Belk,
149,BEAUTY,,Goodness & Grace 12pc Mini Lip Gloss Sets,$9.99,Belk,
150,BEAUTY,,Goodness & Grace 38pc Beauty Set,$19.99,Belk,
151,BEAUTY,,Goodness & Grace 8-Shade Eye Shadow Palettes,$7.99,Belk,
152,BEAUTY,,Goodness & Grace Bath and Body Blockbuster Set,$19.99,Belk,
153,BEAUTY,,Goodness & Grace Eye and Cheek Mini Palettes,$4.99,Belk,
154,BEAUTY,,HoMedics Bubble Deluxe Footspa with Heat,$17.99,Belk,
155,BEAUTY,,HoMedics Comfort Pro Vibration Neck Massager,$17.99,Belk,
156,BEAUTY,,HoMedics On the Go Wellness Kit,$24.99,Belk,
157,BEAUTY,,HoMedics Porcelain Diffusers,$17.99,Belk,
158,BEAUTY,,HoMedics Portable Spa,$17.99,Belk,
159,BEAUTY,,HoMedics Relax and Unwind Wellness Kit,$24.99,Belk,
160,BEAUTY,,Izod Men's Grooming Set,$9.99,Belk,
161,BEAUTY,,Jessica Simpson Fragrance Gift Sets,$24.99,Belk,
162,BEAUTY,,Jimmy Choo Blossom 1.3oz Eau de Parfum,$24.99,Belk,
163,BEAUTY,,Joyland Kids Hair Accessories,$4.99,Belk,
164,BEAUTY,,Joyland Spa Time Gifts,60% Off,Belk,
165,BEAUTY,,Lancome Juicy Lips Duo,$14.99,Belk,
166,BEAUTY,,Lancome Monsieur Big Volume Lash Trio,$19.99,Belk,
167,BEAUTY,,Men's Must-Haves Trial Samplers,$19.99,Belk,
168,BEAUTY,,Michael Kors Chic Duo Coffret,$19.99,Belk,
169,BEAUTY,,Mini Must-Haves Sampler,$19.99,Belk,
170,BEAUTY,,Oscar de la Renta 1.0oz Eau de Toilette,$24.99,Belk,
171,BEAUTY,,Philosophy Fragrance Sets,$19.99,Belk,
172,BEAUTY,,Philosophy Shower Gels,$9.99,Belk,
173,BEAUTY,,Redken Jumbo Hair Care,$12.99,Belk,
174,BEAUTY,,Rihanna Fragrance Gift Sets,$24.99,Belk,
175,BEAUTY,,Tommy Bahama Fragrance Sets,$19.99,Belk,
176,BEAUTY,,Tone it Down! Blonde 3pc Travel-Size Sets,$9.99,Belk,
177,BEAUTY,,Urban Decay Perversion Mascara,$9.99,Belk,
178,BEAUTY,,Versace Women's Fragrance Coffret,$38.99,Belk,
179,BEAUTY,,Vince Camuto Bella Duo,$24.99,Belk,
180,BEAUTY,,Wet Brush Original Detanger and 2-in-1 Styling Iron,$19.99,Belk,
181,BEAUTY,,Women's Must-Haves Trial Samplers,$19.99,Belk,
656,BEAUTY,,23andMe Kits,Up to $100 Off,Best Buy,
657,BEAUTY,,"Hyperice Hypervolt Vibration Massage Device, Cordless, Black",$299.00,Best Buy,
658,BEAUTY,,NormaTec Recovery System,$150 Off,Best Buy,
659,BEAUTY,,Philips Sonicare DiamondClean Smart 9700 Rechargeable Toothbrush,$229.99,Best Buy,
660,BEAUTY,,Philips Sonicare ProtectiveClean 4100 Rechargeable Toothbrush,$29.99,Best Buy,
661,BEAUTY,,Theragun G3PRO Professional Handheld Percussive Massage Gun with Travel Case,$399.00,Best Buy,
662,BEAUTY,,"TytoCare TytoHome Medical Exam Kit, White",$199.99,Best Buy,
663,BEAUTY,,"Upright GO Posture Trainer, White",$59.99,Best Buy,
664,BEAUTY,,"Waterpik Oral Care, Select",30%-36% Off,Best Buy,
1630,BEAUTY,,Dove Bar Soap,$4 Off,BJ's,
1631,BEAUTY,,Dove Body Wash,$4 Off,BJ's,
1632,BEAUTY,,Dove Hair Care Items,$6 Off 2,BJ's,
1633,BEAUTY,,Herbel Essences Hair Care,Buy 1 Get 1 FREE,BJ's,
1634,BEAUTY,,HoMedics Bubble Bliss Footbath,$14.99,BJ's,
1635,BEAUTY,,"Neutrogena Rainbath Shower and Bath Gel, 3ct",$5 Off,BJ's,
1636,BEAUTY,,Olay Regenerist Moisturizer,$8 Off,BJ's,
1637,BEAUTY,,"Oral-B CrossAction Power Toothbrushes, 2pk",$50 Off,BJ's,
1638,BEAUTY,,"Oral-B Electric Toothbrush Replacement Brush Heads, 6pk",$12 Off,BJ's,
1639,BEAUTY,,Oral-B Kids' Power Toothbrush Speak Pack,$12 Off,BJ's,
1640,BEAUTY,,Philips Optimal Plaque Control Replacement Brush Heads,$5 Off,BJ's,
1641,BEAUTY,,"Philips Sonicare e-Series Brush Heads, 4pk",$5 Off,BJ's,
1642,BEAUTY,,"Philips Sonicare Protective Clean 4300 Plaque Control Rechargeable Toothbrush, 2pk",$30 Off,BJ's,
1643,BEAUTY,,Sharper Image Massaging Aromatherapy Neck Wrap,$14.99,BJ's,
1644,BEAUTY,,SpaMist Essential Oil Diffuser with 3 Bonus Oils,$14.99,BJ's,
1645,BEAUTY,,Waterpik Ultra Plus with Nano Plus Water Flosser Combo Pack,$20 Off,BJ's,
2013,BEAUTY,,"Hair Accessories, Entire Store",Buy 3 Get 3 Free,Claire's,
2014,BEAUTY,,"Makeup Items, Entire Store",Buy 3 Get 3 Free,Claire's,
2015,BEAUTY,,MEGA Cosmetic Case,$29.99,Claire's,
2055,BEAUTY,,HoMedics Ellia Gather Diffuser with 3pk 10mL Essential Oils,$49.99,Costco,
2056,BEAUTY,,"Neutrogena Makeup Remover Cleansing Towelettes, 60ct",$9.79,Costco,
2057,BEAUTY,,"Oral B- Pro Care Advanced Clean Electric Toothbrush, 2pk",$35 Off,Costco,
2058,BEAUTY,,"Oral-B Advanced Clean Brush Heads, 9pk",$10 Off,Costco,
2059,BEAUTY,,"Oral-B Advanced Floss Action Brush Heads, 9pk",$10 Off,Costco,
2060,BEAUTY,,RealHer Lip Collection,$39.99,Costco,
2061,BEAUTY,,"T3 SinglePass 1"" Straightening & Styling Iron",$44.99,Costco,
2062,BEAUTY,,True Glow by Conair Sonic Facial Brush with UV Sterilizer,$34.99,Costco,
2063,BEAUTY,,Waterpik Ultra Plus and Cordless Water Flosser Combo Pack,$74.99,Costco,
2245,BEAUTY,,23andMe Genetic DNA Starter Kit,FREE,CVS,
2246,BEAUTY,,"Beauty 360 2 Blade Disposable Razor, 3ct",FREE,CVS,
2247,BEAUTY,,"Blade 2 Blade Disposable Razor, 3ct",FREE,CVS,
2248,BEAUTY,,"Colgate Max Fresh, 5oz",FREE,CVS,
2249,BEAUTY,,"Colgate Optic White Toothpaste, 4.2oz",FREE,CVS,
2250,BEAUTY,,"Colgate Total Toothpaste, 3.4oz or 4.8oz",FREE,CVS,
2251,BEAUTY,,"Conair Hair Appliances, Select",$4.98,CVS,
2252,BEAUTY,,"CVS Health Acetaminophen Caplets, 24ct",FREE,CVS,
2253,BEAUTY,,"CVS Health Arthritis Acetaminophen Caplets, 24ct",FREE,CVS,
2254,BEAUTY,,"CVS Health Pantiliners, 20ct",FREE,CVS,
2255,BEAUTY,,"CVS Health PM Acetaminophen Caplets, 24ct",FREE,CVS,
2256,BEAUTY,,"CVS Health Ultra Soft Baby Wipes, 20ct",FREE,CVS,
2257,BEAUTY,,"CVS Health Ultra-Soft Cleansing Wipes, 20ct",FREE,CVS,
2258,BEAUTY,,"NYX Professional Makeup Lip Color, Select",2 for $1.98,CVS,
2259,BEAUTY,,"NYX Professional Makeup Lip Gloss, Select",2 for $1.98,CVS,
2260,BEAUTY,,Physicians Formula Mini Lip Kit,$4.99,CVS,
